edad,ciclo,trabaja,horas_trabajo_semanal,modalidad_trabajo,tiempo_transporte,carga_familiar,tiene_beca,num_cursos_matriculados,horas_estudio_semanal,horas_sueno,nivel_estres,salud_mental_autopercibida,asistencia_pct,entendimiento_curso,T1,T2,examen_final,nota_final,situacion_academica,modalidad_trabajo_enc,situacion_enc,cluster,pca_x,pca_y,perfil_academico
19,7,1,32.2,Hibrido,0.78,1,1,3,12.3,7.1,7.6,3.1,76.8,5.9,8.4,7.6,11.8,9.86,Riesgo,0,2,3,1.1327608987485913,-0.07880060917293588,Riesgo por Ausentismo Laboral
29,9,0,0.0,No aplica,0.25,3,0,7,15.0,6.4,2.9,9.3,92.9,10.0,14.7,12.9,19.4,16.51,Aprobado,1,0,2,-2.5292355677708356,1.9676563030575602,Estudiante de Alto Rendimiento
27,7,1,26.8,Hibrido,1.51,3,0,6,10.9,7.4,6.0,6.0,86.1,6.4,11.1,11.5,10.1,10.72,Riesgo,0,2,0,0.40948229713825685,1.6450333637805172,Vulnerable por Carga Familiar y Estres
24,6,0,0.0,No aplica,0.49,2,0,4,27.5,8.0,3.3,9.5,89.8,9.8,11.6,13.4,17.4,15.04,Aprobado,1,0,2,-3.3111664499714317,1.1670247632744135,Estudiante de Alto Rendimiento
24,5,0,0.0,No aplica,0.01,3,1,4,14.8,6.3,3.8,7.3,88.3,6.8,15.5,13.3,15.0,14.59,Aprobado,1,0,2,-1.412473666952552,1.9665581454482588,Estudiante de Alto Rendimiento
30,3,1,30.3,Remoto,0.31,0,0,6,20.5,6.0,4.9,6.4,84.6,10.0,13.5,12.6,17.5,15.23,Aprobado,3,0,1,-1.5084768379125448,-0.8746376411904022,Trabajador Esforzado
19,3,1,9.5,Hibrido,1.03,3,0,7,10.2,6.0,5.4,6.7,82.6,6.4,14.8,15.5,15.0,15.11,Aprobado,0,0,0,-0.05472215932779212,1.7690735745700186,Vulnerable por Carga Familiar y Estres
28,8,1,27.5,Hibrido,0.92,1,0,3,8.0,5.3,6.1,4.5,63.0,5.3,9.3,9.0,12.7,10.91,Riesgo,0,2,3,1.7655803997295638,-0.6295487535036911,Riesgo por Ausentismo Laboral
21,1,1,29.3,Presencial,1.48,1,0,3,15.5,6.4,5.5,5.0,85.2,5.1,9.1,8.3,9.7,9.16,Riesgo,2,2,1,0.10848408268663681,0.06879937926551219,Trabajador Esforzado
19,1,1,19.1,Presencial,1.42,1,1,6,15.8,6.5,3.5,7.0,90.8,6.1,10.1,10.1,13.0,11.55,Aprobado,2,0,1,-1.1604150687961503,0.220390374212679,Trabajador Esforzado
25,4,1,42.1,Presencial,1.38,3,0,5,6.1,6.2,7.9,4.8,74.4,4.4,9.6,10.9,9.2,9.79,Riesgo,2,2,0,2.6628476966287136,1.1953359933275918,Vulnerable por Carga Familiar y Estres
32,8,1,25.2,Presencial,1.79,3,0,5,10.9,6.0,8.3,5.6,76.9,6.6,10.7,12.0,12.8,12.14,Aprobado,2,0,0,1.2604804995983838,1.5839054425057981,Vulnerable por Carga Familiar y Estres
29,7,0,0.0,No aplica,0.52,0,1,3,23.8,7.7,1.0,8.6,87.5,10.0,12.1,13.4,20.0,16.44,Aprobado,1,0,2,-3.717934097623549,-0.6351243013557404,Estudiante de Alto Rendimiento
