edad,ciclo,trabaja,horas_trabajo_semanal,modalidad_trabajo,tiempo_transporte,carga_familiar,tiene_beca,num_cursos_matriculados,horas_estudio_semanal,horas_sueno,nivel_estres,salud_mental_autopercibida,asistencia_pct,entendimiento_curso,T1,T2,examen_final,nota_final,situacion_academica
19,7,1,32.2,Hibrido,0.78,1,1,3,12.3,7.1,7.6,3.1,76.8,5.9,8.4,7.6,11.8,9.86,Riesgo
29,9,0,0.0,No aplica,0.25,3,0,7,15.0,6.4,2.9,9.3,92.9,10.0,14.7,12.9,19.4,16.51,Aprobado
27,7,1,26.8,Hibrido,1.51,3,0,6,10.9,7.4,6.0,6.0,86.1,6.4,11.1,11.5,10.1,10.72,Riesgo
24,6,0,0.0,No aplica,0.49,2,0,4,27.5,8.0,3.3,9.5,89.8,9.8,11.6,13.4,17.4,15.04,Aprobado
24,5,0,0.0,No aplica,0.01,3,1,4,14.8,6.3,3.8,7.3,88.3,6.8,15.5,13.3,15.0,14.59,Aprobado
30,3,1,30.3,Remoto,0.31,0,0,6,20.5,6.0,4.9,6.4,84.6,10.0,13.5,12.6,17.5,15.23,Aprobado
19,3,1,9.5,Hibrido,1.03,3,0,7,10.2,6.0,5.4,6.7,82.6,6.4,14.8,15.5,15.0,15.11,Aprobado
28,8,1,27.5,Hibrido,0.92,1,0,3,8.0,5.3,6.1,4.5,63.0,5.3,9.3,9.0,12.7,10.91,Riesgo
21,1,1,29.3,Presencial,1.48,1,0,3,15.5,6.4,5.5,5.0,85.2,5.1,9.1,8.3,9.7,9.16,Riesgo
19,1,1,19.1,Presencial,1.42,1,1,6,15.8,6.5,3.5,7.0,90.8,6.1,10.1,10.1,13.0,11.55,Aprobado
25,4,1,42.1,Presencial,1.38,3,0,5,6.1,6.2,7.9,4.8,74.4,4.4,9.6,10.9,9.2,9.79,Riesgo
32,8,1,25.2,Presencial,1.79,3,0,5,10.9,6.0,8.3,5.6,76.9,6.6,10.7,12.0,12.8,12.14,Aprobado
29,7,0,0.0,No aplica,0.52,0,1,3,23.8,7.7,1.0,8.6,87.5,10.0,12.1,13.4,20.0,16.44,Aprobado
29,6,1,25.3,Hibrido,1.13,0,0,4,11.3,6.5,4.7,8.0,83.4,4.1,11.8,9.9,10.8,10.73,Riesgo
28,6,0,0.0,No aplica,0.44,0,0,6,25.0,6.8,2.4,5.1,89.2,8.5,12.8,11.5,17.3,14.66,Aprobado
29,2,0,0.0,No aplica,0.4,2,0,7,16.9,6.9,3.8,8.8,86.7,7.9,13.5,10.8,16.4,14.14,Aprobado
25,4,0,0.0,No aplica,0.23,0,0,3,17.3,7.8,2.1,7.5,89.7,5.7,11.6,10.8,20.0,15.56,Aprobado
19,1,1,36.0,Hibrido,1.23,1,1,5,7.3,5.8,9.0,4.8,82.3,5.8,14.3,14.8,9.4,12.0,Aprobado
30,8,1,38.7,Remoto,0.27,0,0,6,6.4,6.9,8.4,5.7,81.8,5.6,10.8,9.6,11.0,10.54,Riesgo
24,8,1,43.7,Presencial,0.48,3,0,7,4.7,5.1,8.7,3.0,76.6,1.6,10.2,7.7,1.8,5.25,Desercion
25,3,1,32.0,Presencial,0.9,2,0,5,8.1,5.8,6.8,6.8,75.6,8.0,14.6,12.6,14.6,14.0,Aprobado
23,3,1,42.6,Remoto,0.23,1,0,5,13.3,4.3,8.0,5.4,81.7,4.3,7.9,7.8,8.0,7.92,Riesgo
20,4,0,0.0,No aplica,0.22,0,0,7,27.2,6.7,1.0,10.0,87.7,7.2,10.2,13.5,18.6,15.39,Aprobado
31,9,1,31.2,Hibrido,1.3,2,0,7,5.0,5.3,9.3,4.1,70.0,6.9,8.9,7.8,6.0,7.12,Riesgo
29,5,1,32.8,Hibrido,0.53,0,0,6,11.4,6.7,4.6,6.6,86.1,7.4,11.3,11.1,13.7,12.44,Aprobado
27,8,1,15.4,Presencial,2.18,1,0,6,13.4,7.0,4.7,5.8,87.6,7.1,11.6,10.2,15.7,13.23,Aprobado
24,5,0,0.0,No aplica,0.43,3,0,6,18.8,7.6,2.6,7.0,79.6,5.8,11.0,13.3,16.7,14.54,Aprobado
30,7,0,0.0,No aplica,0.56,1,0,6,19.7,8.3,1.2,8.4,86.9,6.0,13.5,13.8,17.8,15.74,Aprobado
26,6,1,17.0,Presencial,1.71,3,1,5,17.3,6.1,7.5,5.5,92.7,6.3,9.0,7.7,10.3,9.26,Riesgo
24,3,0,0.0,No aplica,0.32,0,0,3,22.8,6.5,1.8,8.8,95.8,6.5,9.3,9.1,16.5,12.84,Aprobado
24,9,1,21.1,Presencial,1.67,1,0,7,7.2,6.9,5.5,5.1,76.7,5.6,9.4,10.7,8.4,9.29,Riesgo
21,8,1,29.9,Presencial,0.39,3,0,6,12.6,5.6,9.2,3.9,74.8,2.8,7.5,9.6,7.7,8.23,Riesgo
19,8,0,0.0,No aplica,0.64,2,1,4,22.1,6.3,3.0,7.7,94.5,7.6,9.5,10.1,14.0,11.93,Aprobado
26,10,0,0.0,No aplica,0.21,3,0,5,26.6,6.5,3.3,5.1,89.3,5.1,10.1,12.2,14.1,12.73,Aprobado
31,3,1,22.8,Hibrido,0.3,2,1,3,12.3,5.8,4.2,7.6,95.8,6.2,11.7,13.2,12.0,12.3,Aprobado
18,1,1,37.2,Presencial,1.96,0,0,6,11.1,7.8,4.9,6.1,68.4,6.8,10.3,14.1,14.0,13.29,Aprobado
30,6,1,29.3,Presencial,1.72,0,0,5,8.2,6.2,5.1,6.3,73.8,6.2,10.5,9.1,9.2,9.43,Riesgo
30,4,1,33.5,Presencial,1.76,2,1,7,3.0,6.1,6.7,6.9,80.5,6.9,12.2,15.6,11.2,12.72,Aprobado
22,5,1,20.4,Presencial,2.28,3,0,4,6.6,7.0,7.0,4.2,73.6,7.5,8.6,11.0,9.8,9.92,Riesgo
27,3,1,28.6,Presencial,2.18,2,0,6,10.3,7.9,5.6,5.1,78.1,6.1,12.1,10.6,12.0,11.6,Aprobado
20,4,1,38.8,Hibrido,0.72,0,0,4,15.2,5.9,6.8,3.1,67.9,6.5,10.9,12.2,12.0,11.84,Aprobado
29,4,0,0.0,No aplica,0.23,1,0,5,18.2,5.5,2.9,7.4,88.8,6.6,12.3,11.6,14.5,13.19,Aprobado
28,4,1,23.6,Presencial,1.29,1,0,4,8.1,6.4,7.8,5.9,76.4,8.3,11.4,12.3,10.8,11.37,Aprobado
23,8,1,25.6,Presencial,1.01,0,0,7,3.5,5.3,6.5,3.4,72.9,5.6,8.2,10.0,10.3,9.79,Riesgo
19,6,1,22.1,Presencial,1.59,1,0,4,12.5,6.0,4.3,5.7,89.6,7.9,11.6,11.5,11.2,11.37,Aprobado
