semestre,cursos_matriculados,horas_trabajo_semanal,modalidad_trabajo,turno_clases,asistencia_pct,horas_estudio_semanal,promedio_ponderado,cursos_jalados_acumulados,entrega_trabajos_pct,participacion_clase,distancia_campus_km,internet_estable,apoyo_familiar,uso_tutoria,deuda_pension,promedio_t1,promedio_t2,cursos_en_riesgo_notas,pct_creditos_riesgo,situacion_academica
8,2,8,remoto,noche,58.7,10.2,5.0,4,59.9,3,3.0,1,5,1,0,6.09,5.04,1,0.5,RIESGO_ALTO
3,5,8,presencial,noche,66.9,9.6,5.0,1,71.6,2,42.8,1,2,0,2,6.56,2.8,2,0.4,RIESGO_ALTO
3,5,9,presencial,noche,69.2,9.8,5.0,1,80.2,4,1.4,0,4,0,1,5.34,6.55,3,0.6,RIESGO_ALTO
9,5,8,presencial,noche,65.5,6.7,5.0,1,63.3,3,23.4,1,3,0,0,5.66,6.95,2,0.4,RIESGO_ALTO
7,5,8,remoto,noche,58.7,5.6,5.0,4,71.5,4,12.4,0,3,0,1,6.59,2.16,2,0.4,DESERCION_PROBABLE
5,3,9,presencial,noche,84.5,7.0,5.0,3,85.5,3,39.8,0,5,0,0,4.17,2.2,2,0.67,RIESGO_ALTO
10,5,10,presencial,noche,55.1,5.4,5.0,4,53.1,3,11.5,1,5,1,0,3.99,4.03,3,0.6,DESERCION_PROBABLE
1,5,9,presencial,noche,65.2,8.6,5.0,0,69.5,2,6.3,1,1,0,1,7.29,6.5,2,0.4,RIESGO_ALTO
6,4,8,presencial,noche,88.8,5.0,5.0,1,100.0,5,0.3,1,3,1,2,6.75,4.71,2,0.5,EN_RIESGO
1,5,9,presencial,noche,79.4,12.1,5.0,0,80.2,3,60.4,1,4,0,1,2.12,7.38,4,0.8,RIESGO_ALTO
3,5,8,presencial,sabado_domingo,68.6,12.4,5.0,1,65.7,4,10.0,1,3,1,3,2.81,3.5,4,0.8,DESERCION_PROBABLE
8,5,10,sin_trabajo,noche,43.0,9.3,5.0,3,41.5,1,54.2,1,5,0,0,7.6,2.31,2,0.4,DESERCION_PROBABLE
5,2,9,remoto,sabado_domingo,71.9,3.9,5.0,0,81.8,3,20.7,1,5,1,3,4.3,3.31,1,0.5,RIESGO_ALTO
3,5,10,presencial,noche,37.3,8.6,5.0,2,35.8,2,69.2,1,2,0,1,5.9,8.56,2,0.4,DESERCION_PROBABLE
3,3,8,remoto,noche,79.9,4.9,5.0,0,72.4,4,16.7,0,3,0,0,9.0,4.17,1,0.33,EN_RIESGO
6,3,0,mixto,sabado_domingo,82.8,8.0,5.0,3,86.6,4,3.2,1,3,1,0,0.95,5.37,3,1.0,RIESGO_ALTO
3,4,10,sin_trabajo,sabado_domingo,48.1,7.7,5.0,1,55.7,3,18.8,0,5,0,0,1.78,9.24,3,0.75,DESERCION_PROBABLE
10,5,8,presencial,noche,84.4,13.0,5.0,1,100.0,3,1.5,0,5,0,0,8.26,2.14,1,0.2,EN_RIESGO
4,3,9,mixto,noche,89.3,4.3,5.0,2,92.7,3,13.2,0,3,1,0,5.12,5.45,2,0.67,RIESGO_ALTO
3,5,10,presencial,sabado_domingo,55.9,9.5,5.0,0,60.0,2,14.4,1,1,1,0,2.52,3.35,4,0.8,DESERCION_PROBABLE
5,3,8,mixto,noche,78.4,8.6,5.0,4,98.3,3,19.7,1,4,0,1,8.38,8.11,1,0.33,EN_RIESGO
1,2,10,remoto,noche,53.4,7.0,5.85,0,66.3,2,47.1,0,4,0,0,3.84,3.42,1,0.5,RIESGO_ALTO
5,5,9,mixto,sabado_domingo,79.5,10.5,5.0,0,82.0,2,1.9,1,4,1,1,6.61,4.48,2,0.4,EN_RIESGO
2,2,8,presencial,sabado_domingo,86.2,4.5,5.0,1,89.7,4,13.4,1,4,0,2,0.93,8.14,2,1.0,RIESGO_ALTO
3,4,12,mixto,noche,51.4,2.3,5.0,2,47.6,3,7.7,1,4,0,2,6.52,5.14,2,0.5,DESERCION_PROBABLE
4,2,12,sin_trabajo,noche,74.8,8.2,5.0,2,73.6,5,13.2,1,1,1,1,3.25,4.53,1,0.5,RIESGO_ALTO
4,3,8,presencial,noche,46.5,7.6,5.0,3,36.2,2,25.2,1,4,0,3,5.72,4.75,1,0.33,DESERCION_PROBABLE
2,2,9,remoto,noche,79.8,4.9,5.0,1,96.3,3,26.5,1,1,1,2,4.78,4.89,1,0.5,RIESGO_ALTO
5,2,10,presencial,noche,82.7,8.9,5.0,1,93.4,2,14.4,1,4,0,3,2.75,7.55,2,1.0,RIESGO_ALTO
6,2,8,remoto,noche,70.9,10.4,5.0,2,80.1,4,35.0,1,4,1,0,3.26,5.23,1,0.5,RIESGO_ALTO
6,2,10,remoto,noche,73.0,7.7,5.0,3,81.7,1,1.0,1,5,1,2,6.17,2.39,1,0.5,RIESGO_ALTO
7,2,4,mixto,noche,88.7,12.7,5.0,1,91.1,5,2.8,1,2,0,0,4.53,4.85,1,0.5,EN_RIESGO
9,2,9,mixto,noche,81.4,7.7,5.0,3,87.4,3,2.6,1,5,0,0,8.95,5.36,0,0.0,EN_RIESGO
6,5,9,remoto,noche,72.4,10.9,5.0,2,81.2,4,20.8,0,4,0,1,3.38,3.19,3,0.6,RIESGO_ALTO
7,3,8,remoto,noche,59.3,7.2,5.0,4,64.2,2,1.4,1,2,0,1,7.96,1.95,1,0.33,DESERCION_PROBABLE
2,5,10,mixto,noche,43.0,8.0,5.0,0,37.9,1,10.0,0,3,0,3,6.59,5.29,2,0.4,DESERCION_PROBABLE
1,3,0,remoto,noche,100.0,13.8,5.0,0,97.7,4,20.0,1,4,0,1,6.28,2.72,1,0.33,APROBADO_REGULAR
3,4,8,presencial,noche,75.2,8.8,5.0,0,75.6,4,4.4,1,5,0,0,7.58,5.93,1,0.25,EN_RIESGO
2,2,4,presencial,noche,85.7,9.8,5.0,1,86.0,3,2.7,0,5,0,2,6.18,4.45,1,0.5,EN_RIESGO
8,3,9,sin_trabajo,noche,79.3,13.9,5.0,5,71.7,5,6.6,1,2,0,1,2.04,7.29,2,0.67,RIESGO_ALTO
1,4,4,presencial,noche,91.7,11.8,5.0,0,97.2,4,21.6,1,3,1,0,4.04,3.44,3,0.75,EN_RIESGO
8,4,9,sin_trabajo,noche,45.6,7.3,5.0,4,65.7,2,4.4,1,5,1,1,4.19,2.1,2,0.5,DESERCION_PROBABLE
10,4,8,presencial,noche,74.2,17.1,5.0,5,83.0,3,18.4,1,2,1,3,5.45,4.34,2,0.5,RIESGO_ALTO
6,5,8,presencial,noche,66.4,7.8,5.0,2,65.8,4,3.5,1,1,0,0,6.65,5.15,2,0.4,RIESGO_ALTO
2,3,8,presencial,sabado_domingo,73.9,11.5,5.0,0,73.2,2,3.7,1,2,1,0,6.81,4.46,1,0.33,EN_RIESGO
8,2,4,mixto,noche,70.9,19.3,5.0,1,77.2,3,3.2,1,5,0,1,7.08,3.0,1,0.5,EN_RIESGO
1,3,9,mixto,noche,87.0,2.4,5.0,1,98.6,3,7.9,1,4,1,3,2.35,1.75,2,0.67,RIESGO_ALTO
8,4,8,sin_trabajo,noche,76.1,9.5,5.0,2,78.1,3,19.2,1,3,1,1,1.61,3.2,3,0.75,DESERCION_PROBABLE
7,3,4,remoto,noche,88.9,13.0,5.0,4,90.2,4,0.5,1,4,1,1,7.18,1.49,1,0.33,EN_RIESGO
8,3,12,presencial,noche,51.8,7.3,5.0,6,34.6,4,20.3,0,2,1,1,2.42,5.2,2,0.67,DESERCION_PROBABLE
6,4,8,remoto,sabado_domingo,52.4,10.9,5.0,3,59.5,3,13.8,0,1,0,0,6.97,7.81,1,0.25,RIESGO_ALTO
6,3,8,presencial,sabado_domingo,66.1,8.2,5.0,3,60.2,2,19.0,1,3,1,0,4.9,2.76,2,0.67,DESERCION_PROBABLE
4,4,8,mixto,sabado_domingo,75.4,8.4,5.0,1,93.6,2,13.7,1,1,0,0,3.59,2.82,3,0.75,DESERCION_PROBABLE
5,4,9,remoto,sabado_domingo,83.2,4.6,5.0,2,96.8,4,17.7,1,1,1,2,5.29,4.24,2,0.5,RIESGO_ALTO
7,5,0,mixto,noche,62.5,13.2,5.0,1,72.7,2,0.8,1,3,0,0,6.58,2.19,2,0.4,RIESGO_ALTO
3,3,4,remoto,sabado_domingo,87.0,8.5,5.0,2,93.6,5,5.8,1,2,0,0,2.81,0.26,2,0.67,RIESGO_ALTO
7,4,12,presencial,noche,53.4,3.2,5.0,2,60.7,2,19.8,0,1,0,0,0.83,2.99,4,1.0,DESERCION_PROBABLE
5,2,0,sin_trabajo,sabado_domingo,74.3,13.9,5.0,2,72.7,3,31.7,1,3,1,1,4.7,3.68,1,0.5,RIESGO_ALTO
5,3,10,mixto,noche,58.1,6.5,5.0,2,68.1,3,4.5,1,3,1,0,9.91,3.9,0,0.0,EN_RIESGO
9,4,8,presencial,noche,79.6,13.8,5.0,1,93.3,4,12.0,1,3,0,2,4.53,5.2,2,0.5,RIESGO_ALTO
5,2,9,mixto,sabado_domingo,72.5,11.7,5.0,2,78.8,4,30.4,1,4,1,1,8.46,6.0,0,0.0,EN_RIESGO
